item_id,item_name,category,warmth_level,formality,min_temp,max_temp,weather_tags,occasion_tags,color,material
1,Cotton T-Shirt,Top,1,2,17,31,"hot,warm","casual,sports",Blue,Nylon
2,Cotton T-Shirt,Top,1,0,16,38,"hot,warm","casual,sports",White,Denim
3,Cotton T-Shirt,Top,2,2,18,34,"hot,warm","casual,sports",Green,Leather
4,Cotton T-Shirt,Top,2,2,17,34,"hot,warm","casual,sports",Green,Cotton
5,Cotton T-Shirt,Top,1,0,14,40,"hot,warm","casual,sports",White,Nylon
6,Long Sleeve Shirt,Top,2,4,7,27,"mild,cool","business,formal",White,Wool
7,Long Sleeve Shirt,Top,2,2,14,29,"mild,cool","business,formal",White,Denim
8,Long Sleeve Shirt,Top,1,3,10,24,"mild,cool","business,formal",Blue,Leather
9,Long Sleeve Shirt,Top,1,3,11,23,"mild,cool","business,formal",Green,Denim
10,Long Sleeve Shirt,Top,3,2,14,25,"mild,cool","business,formal",Blue,Denim
11,Wool Sweater,Top,3,3,-1,18,"cool,cold","business,formal,casual",Blue,Wool
12,Wool Sweater,Top,3,2,-5,18,"cool,cold","business,formal,casual",White,Denim
13,Wool Sweater,Top,5,4,0,23,"cool,cold","business,formal,casual",Gray,Nylon
14,Wool Sweater,Top,4,2,4,25,"cool,cold","business,formal,casual",Gray,Leather
15,Wool Sweater,Top,5,4,-2,17,"cool,cold","business,formal,casual",Black,Wool
16,Light Jacket,Outerwear,4,2,8,21,"mild,cool","casual,outdoor",Blue,Polyester
17,Light Jacket,Outerwear,4,3,3,22,"mild,cool","casual,outdoor",Green,Cotton
18,Light Jacket,Outerwear,4,1,0,29,"mild,cool","casual,outdoor",Gray,Nylon
19,Light Jacket,Outerwear,3,2,7,20,"mild,cool","casual,outdoor",Black,Wool
20,Light Jacket,Outerwear,3,1,7,29,"mild,cool","casual,outdoor",Red,Polyester
21,Heavy Winter Coat,Outerwear,6,3,-4,15,"cold,freezing","formal,casual",Red,Leather
22,Heavy Winter Coat,Outerwear,5,3,-9,19,"cold,freezing","formal,casual",Black,Wool
23,Heavy Winter Coat,Outerwear,4,2,-2,12,"cold,freezing","formal,casual",Black,Leather
24,Heavy Winter Coat,Outerwear,5,2,-2,16,"cold,freezing","formal,casual",Blue,Leather
